Business confidence index (BCI),
"Amplitude adjusted, Long-term average = 100",
Category,OECD
11/1/1988 0:00,101.653
12/1/1988 0:00,101.6267
1/1/1989 0:00,101.5269
2/1/1989 0:00,101.3921
3/1/1989 0:00,101.2318
4/1/1989 0:00,101.1003
5/1/1989 0:00,100.9596
6/1/1989 0:00,100.827
7/1/1989 0:00,100.7116
8/1/1989 0:00,100.6182
9/1/1989 0:00,100.5744
10/1/1989 0:00,100.5711
11/1/1989 0:00,100.5722
12/1/1989 0:00,100.5711
1/1/1990 0:00,100.5709
2/1/1990 0:00,100.5871
3/1/1990 0:00,100.6005
4/1/1990 0:00,100.5793
5/1/1990 0:00,100.4977
6/1/1990 0:00,100.3644
7/1/1990 0:00,100.1727
8/1/1990 0:00,99.9723
9/1/1990 0:00,99.7629
10/1/1990 0:00,99.54
11/1/1990 0:00,99.30426
12/1/1990 0:00,99.06289
1/1/1991 0:00,98.81235
2/1/1991 0:00,98.64837
3/1/1991 0:00,98.6634
4/1/1991 0:00,98.8247
5/1/1991 0:00,99.05189
6/1/1991 0:00,99.34347
7/1/1991 0:00,99.57634
8/1/1991 0:00,99.74706
9/1/1991 0:00,99.787
10/1/1991 0:00,99.65806
11/1/1991 0:00,99.42385
12/1/1991 0:00,99.22295
1/1/1992 0:00,99.20158
2/1/1992 0:00,99.34998
3/1/1992 0:00,99.50834
4/1/1992 0:00,99.59847
5/1/1992 0:00,99.6474
6/1/1992 0:00,99.54408
7/1/1992 0:00,99.34737
8/1/1992 0:00,99.09145
9/1/1992 0:00,98.82617
10/1/1992 0:00,98.65488
11/1/1992 0:00,98.58196
12/1/1992 0:00,98.56087
1/1/1993 0:00,98.55716
2/1/1993 0:00,98.53297
3/1/1993 0:00,98.48023
4/1/1993 0:00,98.41978
5/1/1993 0:00,98.3963
6/1/1993 0:00,98.36356
7/1/1993 0:00,98.38158
8/1/1993 0:00,98.49759
9/1/1993 0:00,98.69998
10/1/1993 0:00,98.93533
11/1/1993 0:00,99.13466
12/1/1993 0:00,99.2755
1/1/1994 0:00,99.39465
2/1/1994 0:00,99.51722
3/1/1994 0:00,99.6869
4/1/1994 0:00,99.8942
5/1/1994 0:00,100.1155
6/1/1994 0:00,100.343
7/1/1994 0:00,100.57
8/1/1994 0:00,100.7929
9/1/1994 0:00,100.9731
10/1/1994 0:00,101.0826
11/1/1994 0:00,101.1121
12/1/1994 0:00,101.0824
1/1/1995 0:00,101.0208
2/1/1995 0:00,100.8728
3/1/1995 0:00,100.6339
4/1/1995 0:00,100.3615
5/1/1995 0:00,100.083
6/1/1995 0:00,99.91407
7/1/1995 0:00,99.87234
8/1/1995 0:00,99.78268
9/1/1995 0:00,99.66576
10/1/1995 0:00,99.5023
11/1/1995 0:00,99.32404
12/1/1995 0:00,99.17692
1/1/1996 0:00,99.08389
2/1/1996 0:00,99.0435
3/1/1996 0:00,99.06602
4/1/1996 0:00,99.14043
5/1/1996 0:00,99.243
6/1/1996 0:00,99.40089
