Country,Year,GDP (current BillUS$),GDP per capita (current US$),GDP per capita growth (annual %),Real GDP growth (Annual percent change),"Inflation rate, average consumer prices (Annual percent change)",Unemployment,Interest Rate,"Net trade in goods and services (BoP, current USB$)","Central government debt, total (% of GDP)",Population,"Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)",Population Growth Rate (Percentage),Total Fertility Rate (live births per woman),"Net Migration Rate (per 1,000 population)","Military expenditure (current USD, BS$)",Military expenditure (% of GDP),"Armed forces personnel, total"
Brazil,1994,525.3694673,3263.560237,4.182955815,5.3,2075.8,6.578,41.75684953,5.515,70.21458747,158033.041,19.055,99.132,1.547,2.603,-0.433,10.59149912,2.016007789,296000
China,1994,564.3218545,473.4899164,11.76638915,13,24.3,2.9,-7.989744154,7.611,16.85641258,1203416.576,125.938,104.118,0.924,1.628,-0.599,9.867120066,1.693479599,2930000
France,1994,1393.98275,23496.36768,1.976392275,2.4,1.7,12.593,7.012541,25.09548728,50.18145742,57902.67,105.19,94.324,0.335,1.665,-0.073,37.28860606,2.66037496,506000
Germany,1994,2205.074123,27076.60675,2.03735421,2.6,2.7,8.727,9.11,33.44569716,27.15039217,81670.243,234.604,94.594,0.253,1.254,3.859,34.19770564,1.550276433,362000
India,1994,327.2748435,346.2266102,4.525133814,6.7,10.3,6.828,4.337109738,-6.311718422,49.5942827,941163.767,316.55,106.949,2.012,3.723,-0.399,8.880551226,2.664673727,1270000
Japan,1994,4998.797548,39933.51506,0.801559685,1.1,0.7,2.89,3.93924918,93.44154265,55.11190585,125057.225,332.481,97.205,0.367,1.468,1.231,45.28559408,0.9228718,233000
South Africa,1994,153.5127124,3547.951748,1.428936716,3.2,8.8,20.073,5.255469727,3.060676857,50.32145874,43789.266,36.045,102.504,0.977,3.258,-6.11,3.478582291,2.561965901,75000
United Kingdom,1994,1140.489746,19709.2381,3.581967504,3.4,2,9.648,4.013230422,-6.980831142,40.48008846,57922.922,238.951,93.58,0.277,1.737,0.923,38.5690135,3.381933718,257000
United States,1994,7287.236,27694,2.76110897,4,2.6,6.119,4.898541338,-98.511,47.35348217,264084.66,29.021,97.393,1.047,1.988,4.442,308.084,4.215264675,1720000
Australia,1995,368.1660232,20448.12197,2.73260145,2.9,4.6,8.473,8.022844372,-5.240428241,22.12541485,17989.698,2.355,99.067,1.168,1.825,4.446,7.665878445,2.021312568,57100
Brazil,1995,769.333051,4704.959837,2.608090006,4.4,66,7.092,17.35412658,-10.652,72.3214588,160496.971,19.351,99.065,1.531,2.567,-0.433,14.31891961,1.86213698,680600
China,1995,734.4848346,609.6043379,9.754954889,11,16.8,3,-1.412648188,11.95759,21.61892076,1214589.617,127.097,104.169,0.909,1.588,-0.3,12.38512947,1.686233887,4130000
France,1995,1601.094756,26889.42506,1.736101244,2.5,1.8,11.834,7.423514,28.97120104,56.2145784,58097.063,105.539,94.243,0.327,1.718,-0.294,40.12402414,2.492496189,502400
Germany,1995,2585.792275,31658.34938,1.246141876,1.5,1.7,8.158,8.79,10.53652692,29.23651485,81876.99,235.311,94.691,0.348,1.262,4.853,38.7426991,1.495022014,365000
India,1995,360.2819096,373.6282357,5.452945861,7.6,10,6.99,5.864178109,-10.21186422,47.4916413,960301.044,322.987,106.981,2.014,3.651,-0.06,9.754464629,2.578483572,2149500
Japan,1995,5545.563664,44197.6191,2.390519558,2.6,-0.1,3.15,4.050494997,68.92547841,60.77122237,125516.496,333.505,97.145,0.249,1.407,0.698,49.96167324,0.916876617,251500
South Africa,1995,171.7359339,3904.324238,1.416824108,3.1,8.8,19.799,6.36739524,1.027227364,48.23541254,44219.013,36.485,97.116,1.448,3.172,-2.209,3.292446561,2.117864047,276900
United Kingdom,1995,1344.240177,23168.95296,2.26078363,2.4,2.6,8.694,-4.301166931,-4.886522252,88.53758606,58083.484,239.575,93.649,0.245,1.709,1.131,38.29428308,2.854199491,233000
United States,1995,7639.749,28690,1.468929171,2.7,2.8,5.65,6.594217971,-96.387,47.20953529,266864.96,29.32,97.584,1,1.965,4.374,295.8530977,3.860245792,1635600
Australia,1996,401.3418806,22021.78391,2.610797814,4,2.7,8.509,6.832512794,-0.533267382,28.23514565,18200.991,2.383,98.964,1.14,1.804,4.532,8.202776516,1.930440067,58800
Brazil,1996,850.426433,5121.905407,0.656502163,2.2,15.8,8.035,33.21458769,-13.512,76.23541895,162973.176,19.646,99,1.497,2.511,-0.438,14.07322654,1.6548435,680600
China,1996,863.7493147,709.4158882,8.776429811,9.9,8.3,3.12,3.354970473,17.551,21.42541234,1225678.238,128.223,104.216,0.856,1.554,-0.204,14.27540082,1.65272667,4135000
France,1996,1605.675087,26870.28524,1.05172456,1.3,2.1,12.367,6.41254,31.18939232,60.25012355,58287.343,105.881,94.18,0.32,1.74,-0.368,38.9777341,2.414473951,491300
Germany,1996,2497.244606,30485.86655,0.514437285,1,1.3,8.822,9.34,17.77198893,32.2365984,82162.791,236.009,94.805,0.244,1.33,3.419,36.70118977,1.46585846,383500
India,1996,392.8968662,399.5773122,5.471108102,7.5,9.4,7.147,7.7929943,-13.98431468,45.7233077,979678.458,329.504,107.018,1.982,3.582,-0.027,9.904672736,2.472768225,2223000
Japan,1996,4923.391534,39150.03963,2.900141234,3.1,0.1,3.383,3.117254681,21.3093716,65.41006169,125828.834,334.308,97.084,0.233,1.403,0.199,44.04710468,0.911247076,247500
South Africa,1996,163.2349254,3654.927598,2.722433879,4.3,7.3,19.643,10.64480937,2.192238677,46.72154875,44864.096,36.961,93.173,1.148,2.991,-4.277,2.59178713,1.755878798,277900
United Kingdom,1996,1419.645866,24406.4003,2.321153895,2.6,2.4,8.189,1.748899975,-3.662771031,87.53616786,58225.785,240.168,93.739,0.25,1.722,1.34,38.56613465,2.724592322,221000
United States,1996,8073.122,29967,2.572463994,3.8,2.9,5.451,6.324285988,-104.035,46.74176855,269546.629,29.61,97.78,0.97,1.96,4.215,287.9606687,3.554982206,1572100
Australia,1997,435.6426113,23646.62305,2.794868491,4.7,0.2,8.367,5.819743006,1.646368836,26.123541,18409.624,2.409,98.839,1.03,1.783,3.656,7.936884917,1.867334395,58400
Brazil,1997,883.2061797,5240.127176,1.855343025,3.4,6.9,9.003,65.40884498,-19.3805947,73.25416859,165431.922,19.94,98.935,1.476,2.468,-0.434,13.93426655,1.577688316,700300
China,1997,961.601981,781.7425612,8.124497577,9.2,2.8,3.23,6.911698894,42.824,20.60499338,1236211.386,129.285,104.262,0.794,1.527,-0.225,15.69958677,1.632650673,3640000
France,1997,1452.884918,24226.88469,1.972119245,2.5,1.3,12.566,5.5124,43.52497398,61.57448742,58473.94,106.222,94.128,0.323,1.73,-0.26,34.6979041,2.375409653,473100
Germany,1997,2211.989623,26964.04947,1.643334273,1.9,1.5,9.861,8.84,23.72402713,35.2145879,82363.588,236.371,94.599,0.063,1.377,1.132,31.2677104,1.409301733,347100
India,1997,415.8675636,414.8986797,2.071873277,4,6.8,7.335,6.909578995,-13.36013175,50.36543613,999133.762,336.048,107.057,1.951,3.514,0.001,11.46488339,2.647732426,2233000
Japan,1997,4492.448606,35638.23196,0.740905953,1,1.7,3.374,1.934613154,47.45001425,72.99671748,126121.77,335.079,97.02,0.228,1.376,0.343,40.63484061,0.920437898,247600
South Africa,1997,168.9780573,3731.431561,1.187492787,2.6,8.6,19.679,10.96989892,1.71020703,45.86521424,45381.94,37.407,90.685,1.248,2.734,-2.15,2.414137709,1.582133557,217440
United Kingdom,1997,1560.911919,26766.00562,4.655038715,4.9,1.8,7.072,6.720383583,2.898078057,88.69798249,58371.345,240.78,93.81,0.259,1.722,1.548,39.88994745,2.560148772,218000
United States,1997,8577.552,31459,3.197165614,4.4,2.3,5,6.603347424,-108.288,44.11748247,272174.763,29.895,97.982,0.946,1.956,4.084,293.1678258,3.405562244,1533300
Australia,1998,399.6744218,21479.1142,3.625218476,4.7,0.9,7.684,5.485434279,-6.467569673,27.2541479,18600.201,2.434,98.723,1.086,1.765,4.348,7.10754289,1.871121813,58400
Brazil,1998,863.7107593,5049.764669,-1.124442426,0.3,3.2,10.15,77.61683799,-18.61074603,68.21456326,167891.396,20.239,98.87,1.5,2.418,0.128,14.35735705,1.66229192,698850
