Country,Year,GDP (current BillUS$),GDP per capita (current US$),GDP per capita growth (annual %),Real GDP growth (Annual percent change),"Inflation rate, average consumer prices (Annual percent change)",Unemployment,Interest Rate,"Net trade in goods and services (BoP, current USB$)","Central government debt, total (% of GDP)",Population,"Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)",Population Growth Rate (Percentage),Total Fertility Rate (live births per woman),"Net Migration Rate (per 1,000 population)","Military expenditure (current USD, BS$)",Military expenditure (% of GDP),"Armed forces personnel, total"
South Africa,2004,255.8069086,5268.278576,3.581230211,4.6,1.4,19.634,4.950384359,-0.410368408,35.91457845,48740.675,40.13,91.268,1.024,2.436,1.203,3.099065125,1.355728578,55000
United Kingdom,2004,2421.525082,40366.88867,1.845402665,2.5,1.3,4.594,1.714791106,-55.76400261,90.51168234,59967.256,247.877,94.633,0.674,1.747,4.079,60.25078254,2.497821368,205000
United States,2004,12217.196,41724,2.891110912,3.8,2.7,5.529,1.607680461,-610.833,56.66227341,291332.104,32.007,99.099,0.993,2.031,4.486,492.9993762,4.016312736,1473000
Australia,2005,695.6928987,34479.76793,1.906065238,3,2.7,5.036,3.306339873,-14.81298245,22.4060503,20162.502,2.642,98.651,1.301,1.849,6.473,13.2377985,1.80249268,53000
Brazil,2005,891.6338399,4773.268551,2.055571501,3.2,6.9,10.551,44.63516886,33.67422922,66.97845124,183690.861,22.097,98.342,1.08,1.942,-0.481,13.58861974,1.524013393,673000
China,2005,2285.96115,1753.414192,10.74137513,11.4,1.8,4.52,1.613277503,124.6267975,26.31166052,1305884.967,136.461,104.616,0.632,1.624,-0.079,42.78995365,1.871858023,3755000
France,2005,2196.945232,34768.1759,0.903680387,2,1.9,8.882,2.5,-0.283241312,65.61117387,61405.748,111.765,93.83,0.712,1.916,3.106,44.44205052,2.023706919,359000
Germany,2005,2846.864211,34520.23965,0.788917116,0.9,1.9,11.167,4.51,148.7689212,45.85554405,82077.203,235.388,94.633,-0.074,1.344,0.992,30.32496518,1.065629701,285000
India,2005,820.3837635,710.5112225,6.206011032,7.9,3.7,8.697,4.855145172,-27.27633627,62.2265261,1154676.322,388.363,107.21,1.568,2.958,-0.805,23.07231293,2.910587502,3047000
Japan,2005,4831.467035,37812.89502,1.794339801,1.8,-0.3,4.446,2.90562806,69.91167115,128.2074929,127878.669,339.451,96.278,0.054,1.245,0.884,44.30061333,0.9169168,272000
South Africa,2005,288.8672172,5893.187076,4.286771531,5.3,3.4,19.557,4.761489203,-0.633341903,34.63125478,49242.166,40.539,91.543,1.002,2.512,0.632,3.566963815,1.234811253,56000
United Kingdom,2005,2543.18,42104.78844,2.035842098,2.7,2.1,4.751,1.664488656,-54.36167907,92.15892201,60372.678,249.633,94.75,0.737,1.761,4.828,61.65363504,2.422716076,217000
United States,2005,13039.197,44123,2.534110707,3.5,3.4,5.084,2.960875213,-716.537,56.53885742,294240.403,32.327,99.182,0.998,2.04,4.63,533.203,4.089231875,1546000
Australia,2006,748.4175628,36595.70715,1.377980034,2.6,3.6,4.785,2.375590567,-12.73976955,21.43929731,20426.478,2.68,98.727,1.594,1.882,9.324,14.23977951,1.822330926,51000
Brazil,2006,1107.626542,5866.023414,2.847962008,4,4.2,9.692,41.24032645,33.45251382,64.62513459,185685.342,22.332,98.263,1.037,1.896,-0.486,16.40486731,1.481084895,754000
China,2006,2752.118657,2099.21943,12.09330469,12.7,1.5,4.43,2.110577727,208.9189245,25.56791961,1314169.304,137.297,104.648,0.589,1.644,-0.576,51.45337323,1.869591636,3605000
France,2006,2320.536221,36470.21284,1.741085258,2.9,1.9,8.833,3,-8.152873482,60.97429268,61844.316,112.536,93.818,0.662,1.974,2.136,45.79214842,1.9750983,354000
Germany,2006,2994.703642,36353.88033,3.933610331,3.9,1.8,10.25,5.08,162.4850183,44.09101581,82016.258,234.399,94.844,-0.769,1.339,-5.986,35.88365797,1.199302958,246000
India,2006,940.2598888,802.013742,6.426044713,8.1,6.7,8.614,2.570606702,-31.76996426,59.66673028,1172878.89,394.485,107.199,1.56,2.867,-0.292,23.95192796,2.68038156,2589000
Japan,2006,4601.663123,35991.546,1.308127183,1.4,0.3,4.192,2.548823046,63.04544432,128.5996679,127947.992,339.674,96.166,0.077,1.285,1.016,41.55259289,0.902988432,252000
South Africa,2006,303.8586754,6139.581618,4.591102101,5.6,4.7,19.425,4.81030228,-4.634129812,32.62534157,49737.899,40.955,91.81,1.042,2.548,0.663,3.506139657,1.153872006,103000
United Kingdom,2006,2708.441582,44512.45903,1.636445587,2.4,2.3,5.35,1.801227475,-50.95793699,92.16460445,60819.538,251.507,94.882,0.759,1.812,5.578,64.21761953,2.369674403,181000
United States,2006,13815.583,46301,1.798198747,2.8,3.2,4.623,4.72786367,-763.533,55.46735161,297192.924,32.657,99.261,1.029,2.087,4.512,558.335,4.041342302,1498000
Australia,2007,855.0074586,41051.61207,1.896708392,4.3,2.4,4.381,3.057411476,-22.88049566,20.09571882,20754.641,2.728,98.854,1.908,1.991,11.925,17.18644096,1.812273234,55000
Brazil,2007,1397.114486,7323.191594,4.98082992,6.1,3.6,9.28,35.02251547,22.21725418,63.0214588,187620.869,22.559,98.184,0.988,1.854,-0.57,20.48575801,1.4662921,721000
China,2007,3550.327803,2693.958732,13.6358205,14.2,4.8,4.35,-0.259570586,308.0360288,29.16434045,1321938.768,138.106,104.683,0.585,1.666,-0.786,62.13659075,1.750164585,2885000
France,2007,2660.591246,41557.62356,1.795236367,2.5,1.6,8.009,3.75,-18.50889857,59.48742119,62255.359,113.229,93.852,0.567,1.952,1.473,50.68446738,1.907528634,353000
Germany,2007,3425.578383,41640.08087,3.114245883,2.9,2.3,8.658,4.19,232.1323463,41.57148287,81387.684,233.241,95.225,-0.219,1.378,-0.305,40.11085928,1.172471765,244000
India,2007,1216.736439,1022.732467,6.093625781,7.7,5.9,8.534,5.681844065,-38.70371244,57.49753639,1190676.021,400.471,107.183,1.453,2.775,-0.871,28.25477345,2.478246528,2576000
Japan,2007,4579.75092,35779.02454,1.367422326,1.5,0,3.888,2.606878389,83.50274042,132.2220465,128046.503,339.914,96.067,0.064,1.305,1.078,40.53004569,0.884987382,242000
South Africa,2007,333.0771173,6662.062785,4.29764521,5.4,7.1,19.39,4.546045669,-3.999046294,28.32564188,50258.655,41.389,92.058,1.068,2.545,0.719,3.526748772,1.058839241,62000
United Kingdom,2007,3090.510204,50397.6855,1.824364462,2.6,2.3,5.262,3.184462448,-59.99976125,93.80223315,61282.651,253.504,95.038,0.823,1.863,6.327,73.44803201,2.374657771,160000
United States,2007,14474.228,48050,1.038343822,2,2.9,4.622,5.199863763,-711,55.6599219,300267.495,32.997,99.334,1.045,2.096,4.543,589.586,4.073350515,1555000
Australia,2008,1056.112427,49701.28178,1.531111868,2.6,4.3,4.242,4.148913129,-12.41204145,18.1805466,21154.456,2.782,99.018,2.023,2.02,12.904,18.63309232,1.796688089,55000
Brazil,2008,1695.855084,8801.757876,4.061722166,5.1,5.7,8.268,35.3667578,1.980084511,61.4254787,189483.771,22.776,98.104,0.928,1.815,-0.741,24.45290304,1.441924093,721000
China,2008,4594.336786,3468.327063,9.090280101,9.6,5.8,4.59,-2.305615343,348.8325332,27.15879761,1329688.395,138.94,104.718,0.62,1.701,-0.573,78.84080282,1.716042546,2885000
France,2008,2930.303781,45515.96175,-0.302483826,0.3,3.2,7.386,4.25,-41.91258172,65.37256949,62609.519,113.86,93.855,0.544,1.987,1.267,55.36596584,1.897075896,353000
Germany,2008,3745.264094,45612.71062,1.152029742,0.9,2.8,7.525,5.09,229.5050234,44.52140004,81209.401,232.702,95.267,-0.243,1.387,-0.288,45.09895631,1.209034004,244000
India,2008,1198.895139,993.5034053,1.630780589,3.1,9.2,8.486,3.77175625,-74.36004352,57.29221428,1207930.964,406.274,107.164,1.425,2.711,-0.844,33.00237673,2.631460781,2582000
Japan,2008,5106.679115,39876.30397,-1.272109949,-1.2,1.4,4.002,2.846981386,17.34117849,138.5742742,128128.861,340.095,95.966,0.042,1.33,1.113,46.36146828,0.907855046,242000
South Africa,2008,316.1312586,6251.877427,2.028404688,3.2,11,19.507,6.745151503,-4.930518851,27.81253649,50798.512,41.869,92.289,1.237,2.679,0.721,3.2862277,1.039513319,62000
United Kingdom,2008,2929.411765,47396.12021,-1.007901032,-0.2,3.6,5.615,1.230162387,-52.18437524,105.4065638,61789.058,255.529,95.197,0.768,1.905,7.077,72.91540767,2.487150085,160000
United States,2008,14769.862,48570,-0.828888121,0.1,3.8,5.784,3.10104222,-712.352,63.81511215,303420.956,33.339,99.403,1.016,2.053,4.646,656.756,4.446595522,1540000
Australia,2009,928.7621227,42816.5674,-0.185773153,2,1.8,5.565,1.021134965,-8.697603424,23.86865497,21586.721,2.835,99.132,1.802,1.972,10.817,18.96013851,1.923938334,56552
Brazil,2009,1666.996439,8569.902547,-1.073238333,-0.1,4.9,9.419,34.79200963,2.316649166,64.71524784,191250.832,22.981,98.023,0.863,1.799,-1.146,25.64880991,1.538625697,713480
China,2009,5101.691124,3832.227457,8.855947676,9.4,-0.7,4.72,5.531122909,220.1304014,34.56702283,1337953.637,139.846,104.746,0.681,1.714,-0.132,96.60166675,1.893523796,2945000
France,2009,2700.887367,41737.76355,-3.370397283,-2.7,0.1,9.122,1.5,-32.83316028,77.94778204,62950.861,114.452,93.861,0.493,1.99,0.92,56.4414554,2.098147335,341967
Germany,2009,3411.261213,41650.36783,-5.454577169,-5.5,0.2,7.742,3.15,172.768389,48.48724103,81012.152,232.199,95.128,-0.19,1.367,0.575,44.52892784,1.310604073,251465
India,2009,1341.888017,1096.636136,6.371709388,7.9,10.6,8.406,4.808592108,-67.41001879,55.25644611,1225524.753,412.192,107.141,1.467,2.674,-0.255,38.72215439,3.129384727,2625586
Japan,2009,5289.493118,41308.99684,-5.68145234,-5.7,-1.3,5.068,2.306032611,23.25194866,156.9844853,128183.119,340.192,95.864,0.015,1.333,0.979,51.46515821,0.972969566,260382
South Africa,2009,329.7540606,6444.18684,-2.702155972,-1.5,7.2,20.512,2.802508977,1.520940147,31.31254698,51430.685,42.372,92.506,1.152,2.501,0.803,3.592687702,1.089504709,77153
United Kingdom,2009,2412.840006,38744.13169,-5.333719394,-4.6,2.2,7.537,-1.223114798,-30.17930457,123.7283397,62265.555,257.502,95.343,0.77,1.893,6.466,64.01050667,2.647724533,178470
United States,2009,14478.067,47194,-3.426831943,-2.6,-0.3,9.254,2.617077655,-394.779,75.84203748,306519.709,33.673,99.465,0.976,1.987,4.504,705.917,4.875768359,1563996
Australia,2010,1148.8902,52147.02419,0.648500068,2.4,2.9,5.214,6.057533614,6.158981327,28.66210103,21979.301,2.882,99.142,1.466,1.948,7.531,23.21769282,1.852928258,56552
Brazil,2010,2208.837745,11249.29189,6.522816179,7.5,5,8.424,29.11580552,-19.36890696,61.31878046,192909.069,23.175,97.943,0.819,1.786,-1.35,34.00294447,1.539406981,713480
China,2010,6087.191747,4550.473944,10.10283262,10.6,3.3,4.53,-1.002401214,223.0238717,33.92428554,1347091.795,140.788,104.77,0.661,1.687,-0.136,105.5226481,1.733519862,2945000
France,2010,2645.187882,40676.06479,1.448245262,1.8,1.7,9.279,1,-43.5150921,80.30129971,63262.065,115.016,93.887,0.49,2.017,0.83,52.04406057,1.969419353,341967
Germany,2010,3399.66782,41572.45595,4.339606777,4.1,1.1,6.967,3.09,180.221496,56.63168772,80858.414,231.9,95.022,-0.068,1.4,1.61,43.02591501,1.266826626,251465
India,2010,1675.615519,1350.63447,7.013174581,8.5,9.4,8.318,-1.983859221,-91.02366248,51.5919103,1243481.564,418.231,107.115,1.443,2.598,-0.041,46.09044566,2.889463272,2625586
Japan,2010,5759.071769,44968.15623,4.079223048,4.1,-0.7,5.103,3.545761915,78.19708142,160.4980984,128201.82,340.173,95.765,-0.026,1.357,1.029,54.65545074,0.949032561,260382
South Africa,2010,417.3638228,8059.562798,1.817735697,3,4.2,23.181,3.49095979,4.979510585,34.71235698,52026.347,42.876,92.729,1.214,2.445,1.31,4.188168092,1.003481069,77153
United Kingdom,2010,2485.482596,39598.95712,1.440384158,2.2,3.3,7.787,-1.066845257,-38.93453522,131.0878784,62746.896,259.563,95.515,0.824,1.918,5.855,63.97911197,2.567999605,174020
United States,2010,15048.971,48650,1.846740458,2.7,1.6,9.633,2.010282621,-503.078,84.96437398,309527.2,34.005,99.52,0.987,1.916,5.126,738.005,4.904023332,1569417
Australia,2011,1398.701323,62609.66072,0.995812002,2.8,3.4,5.083,1.445735455,13.30160567,30.09344793,22303.86,2.926,99.103,1.565,1.922,8.793,26.59719866,1.755656947,57050
Brazil,2011,2616.156224,13200.55623,3.013396273,4,6.6,7.578,32.83345951,-16.82970857,59.3416583,194494.79,23.365,97.862,0.809,1.777,-1.208,36.9362099,1.411851159,713480
China,2011,7551.545703,5614.386022,8.953816042,9.6,5.4,4.55,-1.402428747,181.9037389,33.7716055,1356031.233,141.693,104.785,0.62,1.668,-0.306,125.2863732,1.659082516,2945000
France,2011,2865.157542,43846.46608,1.700610402,2.5,2.3,9.228,1.25,-56.66327793,82.29224206,63572.66,115.59,93.882,0.506,1.995,1.101,54.12087101,1.891406214,332250
Germany,2011,3749.314991,46705.8958,5.869635737,3.8,2.5,5.825,2.58,184.7387701,55.69577065,80803.434,231.977,95.188,0.135,1.385,3.652,45.16321288,1.206150336,196000
India,2011,1823.05183,1449.603301,3.818074312,5.2,8.1,8.222,1.317980862,-106.6867826,51.55655366,1261224.954,424.199,107.086,1.391,2.532,-0.196,49.63381579,2.704482223,2647150
Japan,2011,6233.147172,48760.07895,0.209251803,0,-0.3,4.55,3.174489687,-39.54435923,175.5676412,128168.73,339.937,95.702,-0.113,1.363,0.763,60.76221384,0.97482355,260086
South Africa,2011,458.1994948,8737.041269,1.873318226,3.2,5,21.416,3.279301223,3.577039872,38.23541257,52661.755,43.41,92.954,1.258,2.436,1.23,4.594154077,1.002653404,77582
United Kingdom,2011,2663.805835,42109.64188,0.357726636,1.1,4.5,8.038,-1.652997551,-21.2116736,143.7590145,63266.07,261.634,95.684,0.766,1.911,5.244,66.56955257,2.496605726,165650
United States,2011,15599.732,50065,0.828926174,1.6,3.1,8.949,1.162898652,-554.517,89.54679478,312598.38,34.337,99.662,0.959,1.879,5.17,752.288,4.822441883,1520100
Australia,2012,1547.649836,68078.04423,2.119926068,3.8,1.7,5.225,5.078166699,-23.80331304,39.4386655,22655.69,2.975,99.064,1.724,1.931,10.317,26.21658085,1.670963965,56200
Brazil,2012,2465.227803,12327.5131,1.007654033,1.9,5.4,7.251,26.58209053,-31.6396358,59.84949,196074.679,23.555,97.78,0.814,1.766,-0.913,33.98700507,1.378656465,713480
China,2012,8532.185382,6300.58218,7.134523777,7.8,2.6,4.58,3.585203529,231.8448767,34.39306235,1364470.096,142.658,104.792,0.738,1.798,-0.043,145.1276096,1.700942672,2993000
France,2012,2683.671717,40870.85236,-0.171161336,0.2,2.2,9.841,0.75,-37.82064668,90.2797486,63894.894,116.178,93.885,0.511,1.99,1.612,50.2165074,1.8710806,325600
Germany,2012,3527.143189,43855.85447,0.230160993,0.5,2.2,5.379,2.41,216.9881545,57.11096379,80912.313,232.145,95.594,0.01,1.405,2.461,43.79822535,1.241677479,186450
India,2012,1827.63759,1434.017987,4.060822384,5.5,10,8.156,2.473520489,-136.063399,50.67803056,1278674.502,430.068,107.053,1.357,2.47,-0.156,47.21692005,2.618166348,2728700
Japan,2012,6272.362996,49145.28043,1.536786659,1.4,0,4.358,2.180076528,-101.1984875,183.7062093,128024.135,339.491,95.67,-0.15,1.376,0.531,60.01153019,0.956761842,259800
South Africa,2012,434.4005451,8173.869138,1.04422917,2.4,5.6,21.786,3.882872998,-5.624548538,41.02145633,53328.655,44.055,93.172,1.688,2.447,4.91,4.489590095,1.033522741,62100
United Kingdom,2012,2707.089727,42497.3405,0.809511842,1.5,2.8,7.885,-1.023060732,-26.80559642,147.0536816,63752.501,263.493,95.805,0.65,1.909,4.633,65.45248755,2.418486418,169150
United States,2012,16253.97,51784,1.541466234,2.3,2.1,8.069,1.36246375,-525.907,93.64927461,315611.776,34.667,99.884,0.948,1.862,5.146,725.205,4.46170997,1492200
Australia,2013,1577.30184,68198.41934,0.855301403,2.2,2.5,5.663,6.353353796,-9.157732977,37.55574996,23049.598,3.025,98.978,1.607,1.883,9.288,24.82526259,1.6391802,56750
Brazil,2013,2472.819536,12258.56571,2.114256452,3,6.2,7.071,18.49884442,-54.58336207,57.22840938,197677.544,23.747,97.701,0.807,1.761,-0.792,32.87478723,1.329446084,713480
China,2013,9570.471112,7020.386074,7.050734134,7.8,2.6,4.6,3.755387055,235.3795616,37.0352853,1374571.633,143.647,104.792,0.643,1.714,-0.137,164.0704693,1.714340923,2993000
France,2013,2811.876903,42602.71797,0.058149505,0.9,1,9.913,0.5,-23.35436436,90.96854367,64222.037,116.776,93.905,0.515,1.973,1.806,52.00146245,1.849875918,318400
Germany,2013,3733.80465,46298.92292,0.163870563,0.4,1.6,5.231,3.14,218.5785616,54.2618315,80920.468,232.504,96.025,0.299,1.415,5.706,44.2426473,1.185257901,181550
India,2013,1856.721508,1438.057005,5.014611864,6.4,9.4,8.088,3.865992863,-92.13505169,50.31182736,1295829.511,435.838,107.017,1.309,2.399,-0.117,47.4035288,2.54882489,2749700
Japan,2013,5212.328181,40898.6479,2.152371066,2,0.3,4.038,1.664021933,-125.1282847,186.5642973,127832.435,338.948,95.638,-0.17,1.389,0.52,49.02393241,0.940538501,259800
South Africa,2013,400.8860136,7441.230854,1.099461735,2.5,5.7,22.038,2.509245497,-8.51375095,44.11253654,54236.478,44.789,93.378,1.618,2.428,4.247,4.118208483,1.027794024,77150
United Kingdom,2013,2784.853503,43426.29814,1.112855643,1.8,2.6,7.525,-1.583539432,-39.79266634,141.6433278,64168.467,265.26,95.925,0.686,1.83,4.022,63.83772486,2.291117913,159150
United States,2013,16880.683,53409,1.412741679,2.1,1.5,7.375,1.522213389,-446.857,95.32250561,318618.933,34.994,100.095,0.932,1.84,5.198,679.229,4.03266107,1433150
Australia,2014,1468.59769,62558.24388,1.088300782,2.6,2.5,6.078,4.482137659,-8.402991362,41.71288902,23422.943,3.071,98.822,1.463,1.805,8.484,25.78370871,1.773058878,56750
Brazil,2014,2456.043727,12071.40446,-0.354514802,0.5,6.3,6.755,22.40367244,-63.7915075,58.45727111,199279.055,23.939,97.624,0.806,1.775,-0.728,32.66023937,1.330244423,729500
China,2014,10475.62494,7636.07434,6.750760316,7.4,2,4.63,4.522308432,221.2992469,39.96924113,1383444.448,144.578,104.782,0.65,1.769,-0.267,182.1092046,1.738409288,2993000
France,2014,2855.964489,43068.54872,0.484564448,1,0.6,10.273,0.15,-28.2006785,97.55438385,64553.431,117.328,93.867,0.43,1.974,0.809,53.1347509,1.862961439,312350
Germany,2014,3889.093051,48023.86998,1.784341886,2.2,0.8,4.981,3.06,257.7423368,54.69975371,81162.695,233.464,96.318,0.524,1.469,7.279,44.66283117,1.149941997,178600
India,2014,2039.126479,1559.863779,6.086180227,7.4,5.8,7.992,6.69517609,-67.96980762,49.90092487,1312277.191,441.37,106.98,1.215,2.293,-0.173,50.91409628,2.543981765,2749700
Japan,2014,4896.994405,38475.39525,0.429381123,0.3,2.8,3.589,-0.459381592,-128.6050764,192.1128503,127614.856,338.319,95.606,-0.201,1.388,0.456,46.90346661,0.957800922,259800
South Africa,2014,381.1988698,6965.137897,-0.172220609,1.4,6.1,22.606,3.56702763,-5.763323054,47.23561425,55121.105,45.539,93.682,1.704,2.424,4.905,3.892485091,1.021893996,82250
United Kingdom,2014,3064.708248,47439.61659,2.438574405,3.2,1.5,6.11,-0.807141874,-59.35737606,150.5916197,64610.309,267.223,96.062,0.788,1.811,3.997,66.99546865,2.184118445,154700
United States,2014,17608.138,55304,1.774699807,2.5,1.6,6.168,1.482561391,-483.951,95.45419851,321602.585,35.322,100.293,0.936,1.848,5.176,647.789,3.690960761,1381250
Australia,2015,1351.768945,56758.8692,0.741438844,2.4,1.5,6.055,6.236771423,-27.64464986,46.46578853,23768.258,3.117,98.648,1.501,1.803,8.867,24.04620586,1.953633592,57800
Brazil,2015,1802.212207,8783.215424,-4.358317179,-3.5,9,8.538,33.83234397,-2.822492694,67.53755403,200891.199,24.129,97.551,0.778,1.777,-0.861,24.61770168,1.365517154,729500
China,2015,11061.57262,8016.445595,6.420736477,7,1.4,4.65,4.353072252,357.8707643,41.48882375,1392459.496,145.431,104.759,0.526,1.67,-0.463,196.5388272,1.776771069,2843000
France,2015,2439.188643,36652.92231,0.754024352,1,0.1,10.354,0.05,-9.463888994,97.98033326,64831.554,117.734,93.779,0.261,1.927,-0.005,45.64747164,1.872258281,306350
Germany,2015,3357.585719,41103.25644,0.617105353,1.7,0.7,4.624,3.05,255.0386412,51.5931967,81589.465,235.476,96.943,1.189,1.501,14.319,38.17002107,1.137338427,177300
India,2015,2103.58836,1590.174331,6.721067631,8,4.9,7.894,7.556488414,-63.24917139,49.96471839,1328024.498,446.667,106.946,1.171,2.289,-0.493,51.29548375,2.457450061,2798800
Japan,2015,4444.930652,34960.63938,1.668465117,1.6,0.8,3.385,-0.94844123,-23.27590763,194.5840612,127358.353,337.759,95.594,-0.13,1.415,1.327,42.10610331,0.947283519,259800
South Africa,2015,346.7097905,6204.929901,-0.757928114,1.3,4.6,22.869,3.667742833,-4.45630564,48.68384243,56068.572,46.464,94.297,2.309,2.359,11.303,3.488867947,1.006928622,82150
United Kingdom,2015,2927.911141,44964.39114,1.413498683,2.2,0,5.301,0.521458796,-44.4242601,147.9494127,65121.524,269.349,96.237,0.797,1.801,3.972,59.99020572,2.044058241,152350
United States,2015,18295.019,57040,2.190430566,2.9,0.1,5.28,2.310514641,-490.773,95.95614522,324628.169,35.652,100.482,0.919,1.832,5.281,633.829639,3.481428215,1347300
Australia,2016,1207.580902,49918.79393,1.186265851,2.7,1.3,5.711,6.116716941,-10.79384248,54.64430213,24127.746,3.167,98.516,1.662,1.792,10.466,26.38294705,2.088530879,57800
Brazil,2016,1795.693483,8680.736469,-4.057423002,-3.3,8.7,11.58,40.69836145,7.887719257,73.41880381,202459.865,24.314,97.475,0.746,1.727,-0.458,24.2247469,1.347975413,729500
China,2016,11233.31373,8094.390167,6.238215448,6.8,2,4.56,2.901815389,255.7370882,50.70090143,1399808.851,146.255,104.723,0.605,1.772,-0.109,198.5383614,1.76888659,2695000
France,2016,2472.964345,37062.53357,0.829056665,0.7,0.3,10.057,0.1652,-12.21319014,102.2620449,65001.118,118.044,93.793,0.263,1.892,0.239,47.37058955,1.917282368,306100
Germany,2016,3469.853464,42136.12079,1.408102075,2.3,0.4,4.122,4.34,256.4019849,49.90107633,82565.636,237.434,97.432,0.47,1.591,6.253,39.90967859,1.151230373,179100
India,2016,2294.796886,1714.279537,6.980989701,8.3,4.5,7.8,6.232711415,-41.57920627,47.63375559,1343944.296,452.021,106.911,1.212,2.284,0.06,56.63762264,2.543151521,2981050
Japan,2016,5003.677628,39375.47316,0.805362825,0.8,-0.1,3.132,0.62219276,40.44385116,193.2304378,127193.392,337.452,95.591,-0.053,1.408,2.475,46.47128771,0.929516816,260890
South Africa,2016,323.5855097,5735.066787,-0.309171167,0.7,6.3,24.023,3.278251678,1.533892059,49.72626333,57378.501,46.903,94.238,-0.415,2.261,-15.355,3.139312128,0.971046765,81400
United Kingdom,2016,2689.106567,40985.23514,1.15154933,1.9,0.7,4.81,0.635142588,-50.79884259,156.6044652,65642.696,271.455,96.417,0.761,1.785,3.948,53.32736609,1.976733487,150250
United States,2016,18804.913,58206,1.084257383,1.8,1.3,4.869,2.537232299,-479.461,97.92893485,327624.824,35.985,100.666,0.945,1.804,5.739,639.856443,3.422587975,1348400
Australia,2017,1326.882105,53954.55349,0.647495219,2.4,2,5.592,1.538107312,6.818631562,53.26422179,24532.18,3.219,98.483,1.608,1.745,10.312,27.69111242,2.004234077,58000
Brazil,2017,2063.514977,9896.718895,0.523296589,1.3,3.4,12.792,41.71380787,15.69675567,83.66920265,203976.362,24.492,97.396,0.71,1.74,-0.764,29.2618331,1.414021668,730000
China,2017,12310.49133,8817.045608,6.301863101,6.9,1.6,4.47,0.112553973,217.0098999,54.95062048,1408296.413,147.12,104.662,0.575,1.795,-0.067,210.4430347,1.711242644,2695000
France,2017,2595.151045,38781.04949,1.994998447,2.3,1.2,9.41,0.25417,-19.61374966,102.2152651,65172.593,118.403,93.843,0.344,1.859,1.577,49.19566225,1.908642012,307000
Germany,2017,3690.849153,44652.58917,2.297206047,2.7,1.7,3.746,0,260.5922151,47.8698319,82954.569,238.421,97.483,0.36,1.57,5.451,42.28111268,1.153403721,180000
India,2017,2651.474263,1957.969813,5.568333514,6.8,3.6,7.723,5.327608862,-72.21161263,47.58360938,1359657.4,457.306,106.874,1.114,2.193,-0.185,64.55943528,2.531511361,3031000
Japan,2017,4930.837369,38834.05293,1.758611802,1.7,0.5,2.822,1.069144407,37.63617672,193.4891597,127126.51,337.199,95.575,-0.097,1.39,2.539,45.05846876,0.913229492,261000
South Africa,2017,381.4488147,6734.475153,0.766941613,1.2,5.3,23.992,4.647315485,4.34908322,51.88529271,57140.601,47.21,93.86,1.716,2.283,5.954,3.591507613,0.943568495,80000
United Kingdom,2017,2680.148052,40572.12148,1.960020994,2.7,2.7,4.33,0.369854715,-35.92443156,161.2700614,66144.02,273.355,96.53,0.634,1.735,3.923,52.07500843,1.947666388,148000
United States,2017,19612.102,60322,1.811476365,2.5,2.1,4.355,2.26529638,-516.935,97.02163491,330734.029,36.316,100.841,0.885,1.753,5.613,646.752927,3.320540912,1359000
Australia,2018,1429.733668,57273.52048,1.378345353,2.8,1.9,5.3,3.319652913,15.68182414,54.42969692,24929.897,3.27,98.51,1.511,1.743,9.013,26.83982091,1.895670079,58100
Brazil,2018,1916.933898,9121.020995,0.978938493,1.8,3.7,12.33,33.10233425,4.045101745,86.60788412,205430.528,24.659,97.321,0.657,1.744,-1.118,28.17740687,1.469677724,761500
China,2018,13894.90786,9905.406383,6.251700556,6.7,2.1,4.31,0.821501872,87.90514845,56.65926946,1416413.041,147.813,104.585,0.366,1.539,-0.14,232.530596,1.673578209,2695000
France,2018,2790.956879,41557.85486,1.500539123,1.6,2.1,9.018,0.3354214,-28.41846603,101.6221344,65396.959,118.828,93.853,0.374,1.837,2.029,51.40981284,1.843008723,304800
Germany,2018,3974.443355,47939.27829,0.678212594,1.1,1.9,3.384,-0.88,244.7360674,46.0028228,83253.445,239.18,97.533,0.276,1.566,4.845,46.49767596,1.170548545,181400
India,2018,2702.929642,1974.377731,5.302408679,6.5,3.4,7.652,5.36166639,-105.9176849,46.52249867,1374659.064,462.352,106.837,1.081,2.184,-0.429,66.25780172,2.424284526,3026500
Japan,2018,5040.880939,39751.1331,0.771168471,0.6,1,2.467,0.45874632,1.405006849,197.3356094,127002.87,336.798,95.561,-0.141,1.373,2.526,48.53590941,0.962497357,261150
South Africa,2018,405.2607239,7067.724165,0.319770422,1.6,4.6,24.218,5.856183558,1.98640503,54.76275256,58129.723,48.011,94.007,1.649,2.27,5.43,3.622918742,0.897196372,89650
United Kingdom,2018,2871.340348,43203.81411,0.791214735,1.4,2.5,3.996,0.755214789,-39.57786119,158.1630662,66564.922,274.995,96.607,0.562,1.676,3.898,55.83291641,1.939953463,148450
United States,2018,20656.516,63201,2.425877219,3,2.4,3.896,2.554749875,-578.6,98.44977246,333675.29,36.628,100.996,0.824,1.715,5.268,682.4914,3.323866404,1379800
Australia,2019,1394.671326,55049.57192,0.682490945,1.8,1.6,5.159,1.582465062,46.46960717,60.14198669,25309.514,3.317,98.513,1.359,1.666,8.129,26.07934631,1.881043454,59000
